index,bike_id,datetime,date,month,season,workingday,local_name,weather,isdaytime,temp_value,temp_unit,wind_speed,wind_unit,year_month
524,mr96254,9:50:22,6月21日,6,Summer,Yes,鑫都商业广场,Sunny,TRUE,20,C,3.7,km/h,06-21-09
525,mr96234,9:50:22,6月21日,6,Summer,Yes,麦多生活广场,Sunny,TRUE,17.8,C,3.7,km/h,06-21-09
526,mr96397,9:50:22,6月21日,6,Summer,Yes,万达广场,Sunny,TRUE,17.8,C,3.7,km/h,06-21-09
527,mr96445,9:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-09
528,mr96682,9:50:22,6月21日,6,Summer,Yes,吴泾医院,Sunny,TRUE,20,C,3.7,km/h,06-21-09
529,mr96594,9:50:22,6月21日,6,Summer,Yes,吴泾医院,Sunny,TRUE,22,C,3.7,km/h,06-21-09
530,mr96595,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,25,C,3.7,km/h,06-21-09
531,mr96862,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,23,C,3.7,km/h,06-21-19
532,mr96368,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,21,C,3.7,km/h,06-21-19
533,mr96383,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-19
534,mr96396,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-19
535,mr96431,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-19
536,mr96701,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-19
537,mr96727,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-19
538,mr96753,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-19
539,mr96763,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20.5,C,3.7,km/h,06-21-19
540,mr96942,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-19
541,mr96963,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18.7,C,3.7,km/h,06-21-19
542,mr97068,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-19
543,mr97070,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-19
544,mr97068,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-19
545,mr97128,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-19
546,mr96448,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-19
547,mr96478,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-19
548,mr96847,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-19
549,mr96582,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-19
550,mr96254,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-19
551,mr96234,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-19
552,mr96397,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,22,C,3.7,km/h,06-21-19
553,mr96445,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,25,C,3.7,km/h,06-21-19
554,mr96682,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,23,C,3.7,km/h,06-21-19
555,mr96594,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,21,C,3.7,km/h,06-21-19
556,mr96595,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-19
557,mr96594,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-19
558,mr96595,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-19
559,mr96595,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
560,mr96862,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-20
561,mr96368,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
562,mr96383,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20.5,C,3.7,km/h,06-21-20
563,mr96396,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
564,mr96431,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18.7,C,3.7,km/h,06-21-20
565,mr96701,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
566,mr96727,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-20
567,mr96753,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
568,mr96763,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-20
569,mr96942,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
570,mr96963,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
571,mr97068,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-20
572,mr97070,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-20
573,mr97068,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-20
574,mr97128,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
575,mr96448,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,22,C,3.7,km/h,06-21-20
576,mr96478,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,25,C,3.7,km/h,06-21-20
577,mr96847,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,23,C,3.7,km/h,06-21-20
578,mr96582,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,21,C,3.7,km/h,06-21-20
579,mr96254,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-20
580,mr96234,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-20
581,mr96397,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-20
582,mr96445,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
583,mr96682,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-20
584,mr96594,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-20
585,mr96595,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20.5,C,3.7,km/h,06-21-20
586,mr96596,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-18
587,mr96597,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18.7,C,3.7,km/h,06-21-18
588,mr96598,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-18
589,mr96599,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-18
590,mr96600,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-18
591,mr96601,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-18
592,mr96602,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-18
593,mr96603,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-18
594,mr96604,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-18
595,mr96605,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-18
596,mr96606,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-18
597,mr96607,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-18
598,mr96608,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,22,C,3.7,km/h,06-21-18
599,mr96609,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,25,C,3.7,km/h,06-21-18
600,mr96610,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,23,C,3.7,km/h,06-21-18
601,mr96611,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,21,C,3.7,km/h,06-21-18
602,mr96612,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-18
603,mr96613,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-18
604,mr96614,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-18
605,mr96615,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-18
606,mr96616,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-18
607,mr96617,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-18
608,mr96618,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20.5,C,3.7,km/h,06-21-18
609,mr96619,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-19
610,mr96600,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18.7,C,3.7,km/h,06-21-08
611,mr96601,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-08
612,mr96602,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-08
613,mr96603,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-08
614,mr96604,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-08
615,mr96605,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-08
616,mr96606,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-08
617,mr96607,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-08
618,mr96608,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-08
619,mr96609,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-08
620,mr96610,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-08
621,mr96611,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,22,C,3.7,km/h,06-21-08
622,mr96612,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,25,C,3.7,km/h,06-21-08
623,mr96613,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,23,C,3.7,km/h,06-21-08
624,mr96614,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,21,C,3.7,km/h,06-21-08
625,mr96615,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-08
626,mr96616,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-08
627,mr96617,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-08
628,mr96618,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-08
629,mr96619,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-08
630,mr96600,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-10
631,mr96601,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20.5,C,3.7,km/h,06-21-10
632,mr96602,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-10
633,mr96603,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18.7,C,3.7,km/h,06-21-10
634,mr96604,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-10
635,mr96605,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-10
636,mr96606,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-10
637,mr96607,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-10
638,mr96608,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-10
639,mr96609,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-10
640,mr96610,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-10
641,mr96611,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-10
642,mr96612,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-10
643,mr96613,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-10
644,mr96614,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,22,C,3.7,km/h,06-21-10
645,mr96615,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,25,C,3.7,km/h,06-21-10
646,mr96616,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,23,C,3.7,km/h,06-21-10
647,mr96601,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,21,C,3.7,km/h,06-21-17
648,mr96602,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-17
649,mr96603,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-17
650,mr96604,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-17
651,mr96605,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-17
652,mr96606,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-17
653,mr96607,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-17
654,mr96608,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20.5,C,3.7,km/h,06-21-17
655,mr96609,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-17
656,mr96610,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18.7,C,3.7,km/h,06-21-17
657,mr96611,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-17
658,mr96612,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-17
659,mr96613,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-17
660,mr96614,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-17
661,mr96615,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-17
662,mr96616,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-17
663,mr96602,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-15
664,mr96603,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-15
665,mr96604,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-15
666,mr96605,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-15
667,mr96606,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,22,C,3.7,km/h,06-21-15
668,mr96607,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,25,C,3.7,km/h,06-21-15
669,mr96608,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,23,C,3.7,km/h,06-21-15
670,mr96609,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,21,C,3.7,km/h,06-21-15
671,mr96610,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-15
672,mr96611,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-15
673,mr96612,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-15
674,mr96613,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-15
675,mr96614,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-15
676,mr96615,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-15
677,mr96616,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20.5,C,3.7,km/h,06-21-15
678,mr96609,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-03
679,mr96610,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18.7,C,3.7,km/h,06-21-03
680,mr96611,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-03
681,mr96612,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-03
682,mr96613,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-03
683,mr96614,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-03
684,mr96615,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-03
685,mr96616,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-03
686,mr96616,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-16
687,mr96609,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-16
688,mr96610,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-16
689,mr96611,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-16
690,mr96612,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,22,C,3.7,km/h,06-21-16
691,mr96613,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,25,C,3.7,km/h,06-21-16
692,mr96616,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,23,C,3.7,km/h,06-21-06
693,mr96609,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,21,C,3.7,km/h,06-21-06
694,mr96610,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-06
695,mr96611,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-06
696,mr96612,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-06
697,mr96613,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-06
698,mr96616,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-11
699,mr96609,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-11
700,mr96610,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20.5,C,3.7,km/h,06-21-11
701,mr96611,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-11
702,mr96612,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18.7,C,3.7,km/h,06-21-11
703,mr96613,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-11
704,mr96616,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-14
705,mr96609,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-14
706,mr96610,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-14
707,mr96611,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-14
708,mr96612,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-14
709,mr96613,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-14
710,mr96616,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-13
711,mr96609,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-13
712,mr96610,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-13
713,mr96611,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,22,C,3.7,km/h,06-21-13
714,mr96612,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,25,C,3.7,km/h,06-21-13
715,mr96613,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,23,C,3.7,km/h,06-21-13
716,mr96609,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,21,C,3.7,km/h,06-21-07
717,mr96610,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-07
718,mr96611,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-07
719,mr96612,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-07
720,mr96613,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-07
721,mr96610,22:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,19,C,3.7,km/h,06-21-22
722,mr96611,22:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-22
723,mr96612,22:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20.5,C,3.7,km/h,06-21-22
724,mr96613,22:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-22
725,mr96611,21:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18.7,C,3.7,km/h,06-21-21
726,mr96612,21:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-21
727,mr96613,21:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,18,C,3.7,km/h,06-21-21
728,mr96611,12:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,20,C,3.7,km/h,06-21-12
729,mr96612,12:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,TRUE,17.8,C,3.7,km/h,06-21-12
