,index,bike_id,datetime,date,month,season,workingday,local_name,weather,isdaytime,temp_value,temp_unit,wind_speed,wind_unit,year_month
17,522,mr96847,9:50:22,6月21日,6,Summer,Yes,上海电力工业学院,Sunny,True,20,C,3.7,km/h,06-21-09
18,523,mr96582,9:50:22,,6,Summer,Yes,,Sunny,True,20,C,3.7,km/h,06-21-09
19,524,mr96254,9:50:22,6月21日,6,Summer,Yes,鑫都商业广场,Sunny,True,20,C,3.7,km/h,06-21-09
20,525,mr96234,9:50:22,6月21日,6,Summer,Yes,麦多生活广场,Sunny,True,20,C,3.7,km/h,06-21-09
21,526,mr96397,9:50:22,6月21日,6,Summer,Yes,万达广场,Sunny,True,20,C,3.7,km/h,06-21-09
22,527,mr96445,9:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-09
23,528,mr96682,9:50:22,6月21日,6,Summer,Yes,吴泾医院,Sunny,True,20,C,3.7,km/h,06-21-09
24,529,mr96594,9:50:22,6月21日,6,Summer,Yes,吴泾医院,Sunny,True,20,C,3.7,km/h,06-21-09
25,530,mr96595,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-09
26,531,mr96862,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
27,532,mr96368,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
28,533,mr96383,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
29,534,mr96396,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
30,535,mr96431,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
31,536,mr96701,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
32,537,mr96727,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
33,538,mr96753,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
34,539,mr96763,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
35,540,mr96942,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
36,541,mr96963,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
37,542,mr97068,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
38,543,mr97070,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
40,545,mr97128,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
41,546,mr96448,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
42,547,mr96478,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
43,548,mr96847,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
44,549,mr96582,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
45,550,mr96254,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
46,551,mr96234,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
47,552,mr96397,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
48,553,mr96445,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
49,554,mr96682,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
50,555,mr96594,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
54,559,mr96595,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
55,560,mr96862,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
56,561,mr96368,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
57,562,mr96383,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
58,563,mr96396,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
59,564,mr96431,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
60,565,mr96701,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
61,566,mr96727,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
62,567,mr96753,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
63,568,mr96763,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
64,569,mr96942,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
65,570,mr96963,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
66,571,mr97068,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
67,572,mr97070,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
69,574,mr97128,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
70,575,mr96448,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
71,576,mr96478,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
72,577,mr96847,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
73,578,mr96582,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
74,579,mr96254,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
75,580,mr96234,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
76,581,mr96397,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
77,582,mr96445,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
78,583,mr96682,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
79,584,mr96594,20:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-20
81,586,mr96596,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
82,587,mr96597,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
83,588,mr96598,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
84,589,mr96599,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
85,590,mr96600,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
86,591,mr96601,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
87,592,mr96602,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
88,593,mr96603,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
89,594,mr96604,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
90,595,mr96605,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
91,596,mr96606,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
92,597,mr96607,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
93,598,mr96608,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
94,599,mr96609,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
95,600,mr96610,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
96,601,mr96611,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
97,602,mr96612,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
98,603,mr96613,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
99,604,mr96614,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
100,605,mr96615,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
101,606,mr96616,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
102,607,mr96617,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
103,608,mr96618,18:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-18
104,609,mr96619,19:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-19
105,610,mr96600,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
106,611,mr96601,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
107,612,mr96602,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
108,613,mr96603,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
109,614,mr96604,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
110,615,mr96605,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
111,616,mr96606,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
112,617,mr96607,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
113,618,mr96608,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
114,619,mr96609,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
115,620,mr96610,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
116,621,mr96611,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
117,622,mr96612,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
118,623,mr96613,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
119,624,mr96614,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
120,625,mr96615,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
121,626,mr96616,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
122,627,mr96617,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
123,628,mr96618,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
124,629,mr96619,8:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-08
125,630,mr96600,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
126,631,mr96601,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
127,632,mr96602,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
128,633,mr96603,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
129,634,mr96604,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
130,635,mr96605,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
131,636,mr96606,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
132,637,mr96607,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
133,638,mr96608,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
134,639,mr96609,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
135,640,mr96610,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
136,641,mr96611,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
137,642,mr96612,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
138,643,mr96613,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
139,644,mr96614,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
140,645,mr96615,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
141,646,mr96616,10:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-10
142,647,mr96601,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
143,648,mr96602,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
144,649,mr96603,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
145,650,mr96604,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
146,651,mr96605,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
147,652,mr96606,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
148,653,mr96607,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
149,654,mr96608,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
150,655,mr96609,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
151,656,mr96610,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
152,657,mr96611,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
153,658,mr96612,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
154,659,mr96613,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
155,660,mr96614,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
156,661,mr96615,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
157,662,mr96616,17:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-17
158,663,mr96602,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
159,664,mr96603,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
160,665,mr96604,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
161,666,mr96605,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
162,667,mr96606,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
163,668,mr96607,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
164,669,mr96608,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
165,670,mr96609,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
166,671,mr96610,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
167,672,mr96611,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
168,673,mr96612,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
169,674,mr96613,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
170,675,mr96614,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
171,676,mr96615,15:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
172,677,mr96616,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-15
173,678,mr96609,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-03
174,679,mr96610,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-03
175,680,mr96611,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-03
176,681,mr96612,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-03
177,682,mr96613,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-03
178,683,mr96614,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-03
179,684,mr96615,3:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-03
181,686,mr96616,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-16
182,687,mr96609,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-16
183,688,mr96610,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-16
184,689,mr96611,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-16
185,690,mr96612,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-16
186,691,mr96613,16:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-16
187,692,mr96616,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-06
188,693,mr96609,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-06
189,694,mr96610,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-06
190,695,mr96611,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-06
191,696,mr96612,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-06
192,697,mr96613,6:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-06
193,698,mr96616,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-11
194,699,mr96609,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-11
195,700,mr96610,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-11
196,701,mr96611,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-11
197,702,mr96612,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-11
198,703,mr96613,11:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-11
199,704,mr96616,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-14
200,705,mr96609,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-14
201,706,mr96610,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-14
202,707,mr96611,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-14
203,708,mr96612,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-14
204,709,mr96613,14:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-14
205,710,mr96616,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-13
206,711,mr96609,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-13
207,712,mr96610,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-13
208,713,mr96611,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-13
209,714,mr96612,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-13
210,715,mr96613,13:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-13
211,716,mr96609,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-07
212,717,mr96610,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-07
213,718,mr96611,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-07
214,719,mr96612,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-07
215,720,mr96613,7:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-07
216,721,mr96610,22:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-22
217,722,mr96611,22:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-22
218,723,mr96612,22:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-22
219,724,mr96613,22:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-22
220,725,mr96611,21:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-21
221,726,mr96612,21:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-21
222,727,mr96613,21:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-21
223,728,mr96611,12:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-12
224,729,mr96612,12:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-12
225,730,mr96613,12:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-12
226,731,mr96612,23:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-23
227,732,mr96613,23:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-23
228,733,mr96612,0:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-00
229,734,mr96613,0:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-00
230,735,mr96613,2:50:22,6月21日,6,Summer,Yes,图书馆,Sunny,True,20,C,3.7,km/h,06-21-02
